HabCode_B,UKHab,Ukhab_name,Distinctiveness,technical_difficulty_creation,length_good,length_fairly_good,length_moderate,length_fairly_poor,length_poor
NA,24,Wetland - Depressions on Peat substrates (H7150),8,0.1,30+,30+,30,25,15
NA,f2a,Wetland - Fens (upland and lowland),8,0.33,30,25,20,15,10
NA,f1b,Wetland - Lowland raised bog,8,0.1,30+,30+,30,20,15
NA,NE0010,Wetland - Oceanic Valley Mire[1] (D2.1),8,0.1,30+,30+,30,20,15
NA,f2e,Wetland - Reedbeds,6,0.67,12,10,7,5,3
NA,f2a8,Wetland - Transition mires and quaking bogs (H7140),8,0.1,30+,30+,30,25,15
NA,53,Woodland and forest - Felled,6,1,30+,Not Possible,Not Possible,Not Possible,Not Possible
NA,w1c,Woodland and forest - Lowland beech and yew woodland,6,0.33,30+,30+,30+,25,10
NA,w1f,Woodland and forest - Lowland mixed deciduous woodland,6,0.33,30+,30+,30+,25,10
NA,w2a,Woodland and forest - Native pine woodlands,6,0.33,30+,30+,30+,25,10
NA,w2b,Woodland and forest - Other Scot's Pine woodland,4,0.67,30+,30+,30+,25,10
NA,w1g,Woodland and forest - Other woodland; broadleaved,4,1,30+,25,15,7,5
NA,w1e,Woodland and forest - Upland birchwoods,6,0.67,30+,30,25,20,10
NA,w1b,Woodland and forest - Upland mixed ashwoods,6,0.33,30+,30+,30+,25,10
NA,w1a,Woodland and forest - Upland oakwood,6,0.33,30+,30+,30+,25,10
NA,w1d,Woodland and forest - Wet woodland,6,0.67,30+,30,15,10,5
NA,20,Woodland and forest - Wood-pasture and parkland,8,0.1,30+,30+,30+,25,10
NA,x02,Coastal lagoons - Coastal lagoons,6,0.67,10,8,5,3,1
NA,a1.1,Rocky shore - High energy littoral rock,6,0.33,10,7,4,2,1
NA,A1.1,"Rocky shore - High energy littoral rock - on peat, clay or chalk",8,0.1,30+,30+,30+,30+,30+
NA,A1.2,Rocky shore - Moderate energy littoral rock,6,0.33,13,8,4,2,1
NA,A1.2 PCC,"Rocky shore - Moderate energy littoral rock - on peat, clay or chalk",8,0.1,30+,30+,30+,30+,30+
NA,A1.3,Rocky shore - Low energy littoral rock,6,0.33,15,10,5,1,1
NA,A1.3 PCC,"Rocky shore - Low energy littoral rock - on peat, clay or chalk",8,0.1,30+,30+,30+,30+,30+
NA,A1.4,Rocky shore - Features of littoral rock,6,0.33,13,8,4,2,1
NA,A1.PCC,"Rocky shore - Features of littoral rock - on peat, clay or chalk",8,0.1,30+,30+,30+,30+,30+
NA,A2.5,Coastal saltmarsh - Saltmarshes and saline reedbeds,6,0.33,3,2,1,1,1
NA,ART_A2.5,Coastal saltmarsh - Artificial saltmarshes and saline reedbeds,2,0.33,6,4,3,2,1
NA,A2.1,Intertidal sediment - Littoral coarse sediment,4,0.67,5,4,3,2,1
NA,A2.3,Intertidal sediment - Littoral mud,6,0.33,15,10,7,3,1
NA,A2.4,Intertidal sediment - Littoral mixed sediments,6,0.33,15,10,7,3,1
NA,A2.6,Intertidal sediment - Littoral seagrass,6,0.33,20,15,10,5,2
NA,A2.6 PCC,"Intertidal sediment - Littoral seagrass on peat, clay or chalk",8,0.1,30+,30+,30+,30+,30+
NA,A2.7 M,Intertidal sediment - Littoral biogenic reefs - Mussels,6,0.33,15,10,5,3,3
NA,A2.7 S,Intertidal sediment - Littoral biogenic reefs - Sabellaria,6,0.33,15,10,5,3,3
NA,A2.8,Intertidal sediment - Features of littoral sediment,6,0.33,10,7,5,3,3
NA,ART_A2.1,Intertidal sediment - Artificial littoral coarse sediment,2,0.67,3,2,1,1,1
NA,ART_A2.3,Intertidal sediment - Artificial littoral mud,2,0.33,6,4,3,2,1
NA,ART_A2.21/A2.22/A2.23,Intertidal sediment - Artificial littoral sand,2,0.67,4,2,1,1,1
NA,ART_A2.24,Intertidal sediment - Artificial littoral muddy sand,2,0.33,5,4,3,2,1
NA,ART_A2.4,Intertidal sediment - Artificial littoral mixed sediments,2,0.33,5,4,3,2,1
NA,ART_A2.6,Intertidal sediment - Artificial littoral seagrass,2,0.33,20,15,10,5,2
NA,ART_A2.7,Intertidal sediment - Artificial littoral biogenic reefs,2,0.33,15,10,5,3,3
NA,A2.21/A2.22/A2.23,Intertidal sediment - Littoral sand,4,0.67,4,2,1,1,1
NA,A2.24,Intertidal sediment - Littoral muddy sand,6,0.33,5,4,3,2,1
NA,ART_A1,Intertidal Hard Structures - Artificial hard structures,2,0.67,15,10,5,2,1
NA,ART_A1.4,Intertidal Hard Structures - Artificial features of hard structures,2,0.67,13,8,4,2,1
NA,ART_A1_IGGI,Intertidal Hard Structures - Artificial hard structures with Integrated Greening of Grey Infrastructure (IGGI),4,0.67,13,8,4,2,1
